"Project","Year","Species","Counts","5yrGeomean","10yrGeomean"
"Priest Rapids",2012,"Chinook",124987,105775,102752
"Priest Rapids",2012,"Jack.Chinook",13500,11996,8051
"Priest Rapids",2012,"Steelhead",17230,22896,18199
"Priest Rapids",2012,"Sockeye",408258,229653,103580
"Priest Rapids",2012,"Coho",8381,7672,5514
"Priest Rapids",2012,"Jack.Coho",1577,624,513
"Priest Rapids",2012,"Shad",1939,625,2533
"Priest Rapids",2012,"Lamprey",4025,2990,3400
"Priest Rapids",2013,"Chinook",348732,140160,111991
"Priest Rapids",2013,"Jack.Chinook",22994,12511,8685
"Priest Rapids",2013,"Steelhead",15011,22433,17957
"Priest Rapids",2013,"Sockeye",163079,221173,120376
"Priest Rapids",2013,"Coho",3543,7002,5362
"Priest Rapids",2013,"Jack.Coho",478,637,524
"Priest Rapids",2013,"Shad",21586,1434,2842
"Priest Rapids",2013,"Lamprey",5968,3088,3510
"Priest Rapids",2014,"Chinook",222083,163248,118702
"Priest Rapids",2014,"Jack.Chinook",19843,14238,9253
"Priest Rapids",2014,"Steelhead",19736,19480,18051
"Priest Rapids",2014,"Sockeye",608142,291294,141016
"Priest Rapids",2014,"Coho",34378,8837,6524
"Priest Rapids",2014,"Jack.Coho",2143,889,579
"Priest Rapids",2014,"Shad",8179,2788,2769
"Priest Rapids",2014,"Lamprey",7579,3792,3899
"Priest Rapids",2015,"Chinook",195156,180402,126094
"Priest Rapids",2015,"Jack.Chinook",10947,16044,10618
"Priest Rapids",2015,"Steelhead",14316,17226,18302
"Priest Rapids",2015,"Sockeye",301272,281563,162148
"Priest Rapids",2015,"Coho",4411,9990,7449
"Priest Rapids",2015,"Jack.Coho",625,1055,705
"Priest Rapids",2015,"Shad",17043,4363,2914
"Priest Rapids",2015,"Lamprey",6749,5437,4290
"Priest Rapids",2016,"Chinook",138440,192089,132456
"Priest Rapids",2016,"Jack.Chinook",9337,14448,12131
"Priest Rapids",2016,"Steelhead",6498,13656,17460
"Priest Rapids",2016,"Sockeye",311072,327968,207268
"Priest Rapids",2016,"Coho",1781,6037,7023
"Priest Rapids",2016,"Jack.Coho",206,730,632
"Priest Rapids",2016,"Shad",11361,9210,2250
"Priest Rapids",2016,"Lamprey",8139,6310,4564
"Priest Rapids",2017,"Chinook",91797,180591,138210
"Priest Rapids",2017,"Jack.Chinook",4858,11777,11886
"Priest Rapids",2017,"Steelhead",5804,10985,15859
"Priest Rapids",2017,"Sockeye",66670,228260,228956
"Priest Rapids",2017,"Coho",8120,5999,6784
"Priest Rapids",2017,"Jack.Coho",599,602,613
"Priest Rapids",2017,"Shad",8090,12256,2769
"Priest Rapids",2017,"Lamprey",26012,9164,5235
"Priest Rapids",2018,"Chinook",65463,129240,134589
"Priest Rapids",2018,"Jack.Chinook",5351,8798,10492
"Priest Rapids",2018,"Steelhead",4918,8788,14040
"Priest Rapids",2018,"Sockeye",189884,235315,228134
"Priest Rapids",2018,"Coho",4870,6393,6691
"Priest Rapids",2018,"Jack.Coho",332,560,597
"Priest Rapids",2018,"Shad",79326,15900,4776
"Priest Rapids",2018,"Lamprey",11758,10495,5693
"Priest Rapids",2019,"Chinook",72017,103176,129782
"Priest Rapids",2019,"Jack.Chinook",6781,7098,10053
"Priest Rapids",2019,"Steelhead",3923,6361,11132
"Priest Rapids",2019,"Sockeye",45231,139938,201898
"Priest Rapids",2019,"Coho",8176,4797,6511
"Priest Rapids",2019,"Jack.Coho",528,423,613
"Priest Rapids",2019,"Shad",10,4158,3405
"Priest Rapids",2019,"Lamprey",3276,8874,5801
"Priest Rapids",2020,"Chinook",120501,93692,130009
"Priest Rapids",2020,"Jack.Chinook",9533,6904,10525
"Priest Rapids",2020,"Steelhead",6506,5433,9674
"Priest Rapids",2020,"Sockeye",291106,138980,197817
"Priest Rapids",2020,"Coho",15267,6149,7838
"Priest Rapids",2020,"Jack.Coho",1404,497,724
"Priest Rapids",2020,"Shad",310,1866,2853
"Priest Rapids",2020,"Lamprey",1750,6775,6069
"Priest Rapids",2021,"Chinook",152,23978,67867
"Priest Rapids",2021,"Jack.Chinook",10,1758,5040
"Priest Rapids",2021,"Steelhead",8,1423,4408
"Roza",1940,"Chinook",1011,NA,NA
"Roza",1940,"Steelhead",7,NA,NA
"Roza",1940,"Wild.Steelhead",7,NA,NA
"Roza",1941,"Chinook",239,NA,NA
"Roza",1941,"Steelhead",21,NA,NA
"Roza",1941,"Wild.Steelhead",21,NA,NA
"Roza",1942,"Chinook",531,NA,NA
"Roza",1942,"Steelhead",6,NA,NA
"Roza",1942,"Wild.Steelhead",6,NA,NA
"Roza",1943,"Chinook",671,542,NA
"Roza",1943,"Steelhead",49,14,NA
"Roza",1943,"Wild.Steelhead",49,14,NA
"Roza",1944,"Chinook",293,479,NA
"Roza",1944,"Steelhead",10,13,NA
"Roza",1944,"Wild.Steelhead",10,13,NA
"Roza",1944,"Coho",774,NA,NA
"Roza",1945,"Chinook",447,407,NA
"Roza",1946,"Chinook",993,541,NA
"Roza",1946,"Steelhead",9,13,NA
"Roza",1946,"Wild.Steelhead",9,13,NA
"Roza",1947,"Chinook",2674,747,645
"Roza",1947,"Steelhead",1,8,NA
"Roza",1947,"Wild.Steelhead",1,8,NA
"Roza",1947,"Coho",1858,NA,NA
"Roza",1948,"Chinook",972,805,675
"Roza",1948,"Steelhead",1,3,7
"Roza",1948,"Wild.Steelhead",1,3,7
"Roza",1948,"Coho",20,NA,NA
"Roza",1949,"Chinook",1959,1177,751
"Roza",1949,"Steelhead",23,4,8
"Roza",1949,"Wild.Steelhead",23,4,8
"Roza",1949,"Coho",60,NA,NA
"Roza",1950,"Chinook",2509,1662,822
"Roza",1950,"Steelhead",3,4,7
"Roza",1950,"Wild.Steelhead",3,4,7
"Roza",1950,"Coho",1644,246,NA
"Roza",1951,"Chinook",5541,2344,1126
"Roza",1951,"Steelhead",6,3,6
"Roza",1951,"Wild.Steelhead",6,3,6
"Roza",1952,"Chinook",2718,2352,1326
"Roza",1952,"Steelhead",21,6,7
"Roza",1952,"Wild.Steelhead",21,6,7
"Roza",1952,"Coho",268,152,NA
"Roza",1953,"Chinook",5427,3317,1634
"Roza",1953,"Steelhead",34,12,7
"Roza",1953,"Wild.Steelhead",34,12,7
"Roza",1953,"Sockeye",3,NA,NA
"Roza",1953,"Coho",308,300,NA
"Roza",1954,"Chinook",3111,3639,2070
"Roza",1954,"Steelhead",96,17,9
"Roza",1954,"Wild.Steelhead",96,17,9
"Roza",1954,"Coho",472,503,NA
"Roza",1955,"Chinook",627,2757,2141
"Roza",1955,"Steelhead",18,24,9
"Roza",1955,"Wild.Steelhead",18,24,9
"Roza",1955,"Sockeye",1,NA,NA
"Roza",1955,"Coho",420,358,297
"Roza",1956,"Chinook",1644,2163,2252
"Roza",1956,"Steelhead",78,40,11
"Roza",1956,"Wild.Steelhead",78,40,11
"Roza",1956,"Coho",44,235,240
"Roza",1957,"Chinook",3634,2292,2322
"Roza",1957,"Jack.Chinook",1123,NA,NA
"Roza",1957,"Steelhead",27,42,16
"Roza",1957,"Wild.Steelhead",27,42,16
"Roza",1957,"Coho",2563,369,249
"Roza",1958,"Chinook",2114,1898,2509
"Roza",1958,"Jack.Chinook",130,NA,NA
"Roza",1958,"Steelhead",12,34,20
"Roza",1958,"Wild.Steelhead",12,34,20
"Roza",1958,"Coho",497,407,355
"Roza",1959,"Chinook",915,1486,2325
"Roza",1959,"Jack.Chinook",138,NA,NA
"Roza",1959,"Steelhead",4,18,17
"Roza",1959,"Wild.Steelhead",4,18,17
"Roza",1959,"Coho",190,339,404
"Roza",1960,"Chinook",415,1368,1942
"Roza",1960,"Jack.Chinook",193,250,NA
"Roza",1960,"Coho",1162,415,389
"Roza",1961,"Chinook",689,1150,1577
"Roza",1961,"Jack.Chinook",455,282,NA
"Roza",1961,"Steelhead",17,12,23
"Roza",1961,"Wild.Steelhead",17,12,23
"Roza",1961,"Coho",509,678,399
"Roza",1962,"Chinook",135,595,1168
"Roza",1962,"Jack.Chinook",17,122,NA
"Roza",1962,"Steelhead",3,7,19
"Roza",1962,"Wild.Steelhead",3,7,19
"Roza",1962,"Coho",122,369,369
"Roza",1963,"Chinook",158,354,820
"Roza",1963,"Jack.Chinook",90,113,NA
"Roza",1963,"Steelhead",11,7,17
"Roza",1963,"Wild.Steelhead",11,7,17
"Roza",1963,"Coho",768,402,404
"Roza",1964,"Chinook",111,232,588
"Roza",1964,"Steelhead",1,5,10
"Roza",1964,"Wild.Steelhead",1,5,10
"Roza",1964,"Coho",192,403,370
"Roza",1965,"Chinook",60,158,465
"Roza",1965,"Jack.Chinook",13,55,117
"Roza",1965,"Steelhead",3,4,8
"Roza",1965,"Wild.Steelhead",3,4,8
"Roza",1965,"Coho",381,323,366
"Roza",1966,"Chinook",113,110,356
"Roza",1966,"Jack.Chinook",17,24,94
"Roza",1966,"Steelhead",1,3,5
"Roza",1966,"Wild.Steelhead",1,3,5
"Roza",1966,"Coho",847,357,492
"Roza",1967,"Chinook",130,109,255
"Roza",1967,"Jack.Chinook",16,24,59
"Roza",1967,"Coho",135,364,367
"Roza",1982,"Chinook",1057,NA,NA
"Roza",1982,"Jack.Chinook",89,NA,NA
"Roza",1982,"Steelhead",6,NA,NA
"Roza",1982,"Wild.Steelhead",6,NA,NA
"Roza",1983,"Chinook",862,NA,NA
"Roza",1983,"Jack.Chinook",145,NA,NA
"Roza",1983,"Steelhead",44,NA,NA
"Roza",1983,"Wild.Steelhead",44,NA,NA
"Roza",1984,"Chinook",1366,NA,NA
"Roza",1984,"Jack.Chinook",248,NA,NA
"Roza",1984,"Steelhead",9,NA,NA
"Roza",1984,"Wild.Steelhead",9,NA,NA
"Roza",1985,"Chinook",2188,1285,NA
"Roza",1985,"Jack.Chinook",240,166,NA
"Roza",1985,"Steelhead",8,12,NA
"Roza",1985,"Wild.Steelhead",8,12,NA
"Roza",1986,"Chinook",2967,1519,NA
"Roza",1986,"Jack.Chinook",284,185,NA
"Roza",1987,"Chinook",1854,1699,NA
"Roza",1987,"Jack.Chinook",74,179,NA
"Roza",1988,"Chinook",1461,1888,NA
"Roza",1988,"Jack.Chinook",107,168,NA
"Roza",1989,"Chinook",3562,2288,1724
"Roza",1989,"Jack.Chinook",211,163,157
"Roza",1990,"Chinook",2007,2248,1753
"Roza",1990,"Jack.Chinook",40,114,135
"Roza",1991,"Steelhead",31,NA,NA
"Roza",1991,"Wild.Steelhead",28,NA,NA
"Roza",1992,"Chinook",2965,2359,1966
"Roza",1992,"Jack.Chinook",62,87,129
"Roza",1992,"Steelhead",95,NA,NA
"Roza",1992,"Wild.Steelhead",89,NA,NA
"Roza",1992,"Sockeye",11,NA,NA
"Roza",1993,"Chinook",1795,2484,2133
"Roza",1993,"Jack.Chinook",74,79,120
"Roza",1993,"Steelhead",6,NA,NA
"Roza",1993,"Wild.Steelhead",6,NA,NA
"Roza",1993,"Sockeye",16,NA,NA
"Roza",1994,"Chinook",554,1560,1929
"Roza",1994,"Jack.Chinook",9,36,83
"Roza",1994,"Steelhead",32,27,NA
"Roza",1994,"Wild.Steelhead",31,26,NA
"Roza",1995,"Chinook",280,953,1535
"Roza",1995,"Jack.Chinook",75,42,73
"Roza",1995,"Steelhead",26,27,NA
"Roza",1995,"Wild.Steelhead",24,26,NA
"Roza",1995,"Sockeye",1,NA,NA
"Roza",1996,"Chinook",1576,1054,1431
"Roza",1996,"Jack.Chinook",55,44,61
"Roza",1996,"Steelhead",91,34,NA
"Roza",1996,"Wild.Steelhead",91,32,NA
"Roza",1997,"Chinook",1399,907,1387
"Roza",1997,"Jack.Chinook",49,42,58
"Roza",1997,"Steelhead",21,25,NA
"Roza",1997,"Wild.Steelhead",21,24,NA
"Roza",1997,"Coho",3,NA,NA
"Roza",1998,"Chinook",766,765,1291
"Roza",1998,"Jack.Chinook",55,40,54
"Roza",1998,"Steelhead",46,37,33
"Roza",1998,"Wild.Steelhead",46,37,32
"Roza",1998,"Coho",7,NA,NA
"Roza",1999,"Chinook",883,840,1106
"Roza",1999,"Jack.Chinook",825,98,63
"Roza",1999,"Steelhead",16,33,30
"Roza",1999,"Wild.Steelhead",16,32,29
"Roza",1999,"Coho",27,NA,NA
"Roza",2000,"Chinook",11161,1755,1338
"Roza",2000,"Jack.Chinook",1218,172,92
"Roza",2000,"Steelhead",17,30,28
"Roza",2000,"Wild.Steelhead",16,30,28
"Roza",2000,"Coho",148,17,NA
"Roza",2000,"Jack.Coho",1,NA,NA
"Roza",2001,"Chinook",11199,2598,1655
"Roza",2001,"Jack.Chinook",1326,324,120
"Roza",2001,"Steelhead",156,33,33
"Roza",2001,"Wild.Steelhead",150,33,33
"Roza",2001,"Coho",621,35,NA
"Roza",2002,"Chinook",8727,3746,1843
"Roza",2002,"Jack.Chinook",219,438,136
"Roza",2002,"Steelhead",219,53,36
"Roza",2002,"Wild.Steelhead",217,52,36
"Roza",2002,"Sockeye",3,NA,NA
"Roza",2002,"Coho",47,61,NA
"Roza",2002,"Jack.Coho",1,NA,NA
"Roza",2003,"Chinook",1941,4512,1858
"Roza",2003,"Jack.Chinook",1907,889,188
"Roza",2003,"Steelhead",135,66,50
"Roza",2003,"Wild.Steelhead",129,64,48
"Roza",2003,"Coho",10,65,NA
"Roza",2004,"Chinook",10101,7346,2484
"Roza",2004,"Jack.Chinook",927,910,299
"Roza",2004,"Steelhead",234,113,61
"Roza",2004,"Wild.Steelhead",229,109,59
"Roza",2004,"Coho",36,69,31
"Roza",2005,"Chinook",5607,6401,3352
"Roza",2005,"Jack.Chinook",750,826,377
"Roza",2005,"Steelhead",208,186,75
"Roza",2005,"Wild.Steelhead",208,182,73
"Roza",2005,"Coho",31,50,31
"Roza",2006,"Chinook",3773,5149,3657
"Roza",2006,"Jack.Chinook",271,601,442
"Roza",2006,"Steelhead",119,176,77
"Roza",2006,"Wild.Steelhead",117,173,75
"Roza",2006,"Coho",9,22,27
"Roza",2007,"Chinook",2000,3835,3790
"Roza",2007,"Jack.Chinook",1025,819,599
"Roza",2007,"Steelhead",66,139,86
"Roza",2007,"Wild.Steelhead",65,136,84
"Roza",2007,"Coho",90,25,39
"Roza",2008,"Chinook",4097,4453,4482
"Roza",2008,"Jack.Chinook",1381,768,826
"Roza",2008,"Steelhead",168,145,98
"Roza",2008,"Wild.Steelhead",164,143,96
"Roza",2008,"Coho",1,16,32
"Roza",2009,"Chinook",5154,3892,5347
"Roza",2009,"Jack.Chinook",3479,1000,954
"Roza",2009,"Steelhead",233,145,128
"Roza",2009,"Wild.Steelhead",225,142,125
"Roza",2009,"Sockeye",17,NA,NA
"Roza",2009,"Coho",1164,31,46
"Roza",2009,"Jack.Coho",16,NA,NA
"Roza",2010,"Chinook",8266,4207,5189
"Roza",2010,"Jack.Chinook",1639,1169,983
"Roza",2010,"Steelhead",315,157,171
"Roza",2010,"Wild.Steelhead",306,154,167
"Roza",2010,"Sockeye",40,NA,NA
"Roza",2010,"Coho",129,41,46
"Roza",2010,"Jack.Coho",7,NA,NA
"Roza",2011,"Chinook",7724,4855,5000
"Roza",2011,"Jack.Chinook",2796,1865,1059
"Roza",2011,"Steelhead",361,197,186
"Roza",2011,"Wild.Steelhead",353,192,182
"Roza",2011,"Sockeye",13,NA,NA
"Roza",2011,"Coho",306,84,43
"Roza",2011,"Jack.Coho",13,NA,NA
"Roza",2012,"Chinook",6268,6101,4837
"Roza",2012,"Jack.Chinook",571,1659,1166
"Roza",2012,"Steelhead",404,282,198
"Roza",2012,"Wild.Steelhead",396,275,194
"Roza",2012,"Sockeye",154,34,NA
"Roza",2012,"Coho",532,120,54
"Roza",2012,"Jack.Coho",25,14,NA
"Roza",2013,"Chinook",4222,6137,5228
"Roza",2013,"Jack.Chinook",1880,1765,1164
"Roza",2013,"Steelhead",280,313,213
"Roza",2013,"Wild.Steelhead",266,303,208
"Roza",2013,"Sockeye",691,62,NA
"Roza",2013,"Coho",68,278,66
"Roza",2013,"Jack.Coho",22,15,NA
"Roza",2014,"Chinook",6222,6373,4981
"Roza",2014,"Jack.Chinook",1783,1544,1243
"Roza",2014,"Steelhead",415,351,226
"Roza",2014,"Wild.Steelhead",410,342,221
"Roza",2014,"Sockeye",2576,170,NA
"Roza",2014,"Coho",3892,354,105
"Roza",2014,"Jack.Coho",23,16,NA
"Roza",2015,"Chinook",6125,6002,5025
"Roza",2015,"Jack.Chinook",436,1185,1177
"Roza",2015,"Steelhead",459,379,244
"Roza",2015,"Wild.Steelhead",455,370,239
"Roza",2015,"Sockeye",95,202,NA
"Roza",2015,"Coho",42,283,108
"Roza",2016,"Chinook",4138,5298,5071
"Roza",2016,"Jack.Chinook",1223,1004,1368
"Roza",2016,"Steelhead",464,398,280
"Roza",2016,"Wild.Steelhead",3,143,165
"Roza",2016,"Sockeye",3949,634,176
"Roza",2016,"Coho",696,333,167
"Roza",2016,"Jack.Coho",13,20,NA
"Roza",2017,"Chinook",4124,4872,5452
"Roza",2017,"Jack.Chinook",2384,1336,1489
"Roza",2017,"Steelhead",410,399,336
"Roza",2017,"Wild.Steelhead",408,143,199
"Roza",2017,"Sockeye",137,620,171
"Roza",2017,"Coho",3,118,119
"Roza",2018,"Chinook",2075,4227,5093
"Roza",2018,"Jack.Chinook",342,950,1295
"Roza",2018,"Steelhead",142,349,330
"Roza",2018,"Wild.Steelhead",141,126,196
"Roza",2018,"Sockeye",201,484,174
"Roza",2018,"Coho",240,152,206
"Roza",2019,"Chinook",1602,3222,4532
"Roza",2019,"Jack.Chinook",418,711,1048
"Roza",2019,"Steelhead",130,276,312
"Roza",2019,"Wild.Steelhead",128,100,185
"Roza",2019,"Sockeye",201,291,222
"Roza",2019,"Coho",79,70,157
"Roza",2020,"Chinook",1780,2517,3887
"Roza",2020,"Jack.Chinook",477,724,926
"Roza",2020,"Steelhead",101,204,278
"Roza",2020,"Wild.Steelhead",101,74,166
"Roza",2020,"Sockeye",4379,625,356
"Roza",2020,"Coho",771,125,188
"Roza",2020,"Jack.Coho",37,NA,NA
"Roza",2021,"Chinook",1,476,1588
"Roza",2021,"Steelhead",168,167,258
"Roza",2021,"Wild.Steelhead",167,166,154
"Roza",2021,"Coho",10,54,134
"Prosser",1983,"Chinook",748,NA,NA
"Prosser",1983,"Jack.Chinook",119,NA,NA
"Prosser",1984,"Chinook",2321,NA,NA
"Prosser",1984,"Jack.Chinook",218,NA,NA
"Prosser",1984,"Steelhead",1668,NA,NA
"Prosser",1984,"Wild.Steelhead",1668,NA,NA
"Prosser",1985,"Chinook",3815,NA,NA
"Prosser",1985,"Jack.Chinook",424,NA,NA
"Prosser",1985,"Steelhead",1299,NA,NA
"Prosser",1985,"Wild.Steelhead",1299,NA,NA
"Prosser",1986,"Chinook",8686,2754,NA
"Prosser",1986,"Jack.Chinook",355,250,NA
"Prosser",1986,"Steelhead",2983,NA,NA
"Prosser",1986,"Wild.Steelhead",2945,NA,NA
"Prosser",1987,"Chinook",3758,2931,NA
"Prosser",1987,"Jack.Chinook",326,264,NA
"Prosser",1987,"Steelhead",2021,1901,NA
"Prosser",1987,"Wild.Steelhead",1851,1854,NA
"Prosser",1988,"Chinook",3590,4011,NA
"Prosser",1988,"Jack.Chinook",323,322,NA
"Prosser",1988,"Steelhead",2284,1972,NA
"Prosser",1988,"Wild.Steelhead",2143,1908,NA
"Prosser",1989,"Chinook",4112,4497,NA
"Prosser",1989,"Jack.Chinook",242,329,NA
"Prosser",1989,"Steelhead",1185,1842,NA
"Prosser",1989,"Wild.Steelhead",1097,1755,NA
"Prosser",1990,"Chinook",2202,4029,3026
"Prosser",1990,"Jack.Chinook",53,217,219
"Prosser",1990,"Steelhead",863,1697,NA
"Prosser",1990,"Wild.Steelhead",757,1575,NA
"Prosser",1990,"Sockeye",4,NA,NA
"Prosser",1991,"Chinook",2750,3201,2994
"Prosser",1991,"Jack.Chinook",129,177,206
"Prosser",1991,"Steelhead",1594,1497,1625
"Prosser",1991,"Wild.Steelhead",1409,1359,1527
"Prosser",1991,"Sockeye",1,NA,NA
"Prosser",1992,"Chinook",5782,3489,3198
"Prosser",1992,"Jack.Chinook",245,167,210
"Prosser",1992,"Steelhead",1477,1406,1608
"Prosser",1992,"Wild.Steelhead",1318,1270,1503
"Prosser",1992,"Sockeye",7,NA,NA
"Prosser",1992,"Coho",137,NA,NA
"Prosser",1992,"Jack.Coho",53,NA,NA
"Prosser",1993,"Chinook",4851,3705,3855
"Prosser",1993,"Jack.Chinook",89,129,204
"Prosser",1993,"Steelhead",883,1163,1514
"Prosser",1993,"Wild.Steelhead",866,1060,1422
"Prosser",1993,"Sockeye",20,5,NA
"Prosser",1993,"Coho",162,NA,NA
"Prosser",1993,"Jack.Coho",3,NA,NA
"Prosser",1994,"Chinook",2640,3391,3905
"Prosser",1994,"Jack.Chinook",182,122,200
"Prosser",1994,"Steelhead",935,1109,1429
"Prosser",1994,"Wild.Steelhead",868,1011,1332
"Prosser",1994,"Coho",532,NA,NA
"Prosser",1994,"Jack.Coho",28,NA,NA
"Prosser",1995,"Chinook",1707,3223,3603
"Prosser",1995,"Jack.Chinook",281,170,192
"Prosser",1995,"Steelhead",730,1072,1349
"Prosser",1995,"Wild.Steelhead",649,980,1243
"Prosser",1995,"Sockeye",1,3,NA
"Prosser",1995,"Coho",651,296,NA
"Prosser",1995,"Jack.Coho",74,24,NA
"Prosser",1996,"Chinook",4112,3493,3344
"Prosser",1996,"Jack.Chinook",359,209,192
"Prosser",1996,"Steelhead",547,866,1139
"Prosser",1996,"Wild.Steelhead",465,785,1033
"Prosser",1996,"Coho",921,372,NA
"Prosser",1996,"Jack.Coho",417,42,NA
"Prosser",1996,"Lamprey",1,NA,NA
"Prosser",1997,"Chinook",4157,3270,3377
"Prosser",1997,"Jack.Chinook",136,186,176
"Prosser",1997,"Steelhead",1430,860,1100
"Prosser",1997,"Wild.Steelhead",1224,774,991
"Prosser",1997,"Coho",1241,577,NA
"Prosser",1997,"Jack.Coho",71,45,NA
"Prosser",1998,"Chinook",2942,2958,3311
"Prosser",1998,"Jack.Chinook",109,194,158
"Prosser",1998,"Steelhead",1144,906,1026
"Prosser",1998,"Wild.Steelhead",1070,807,925
"Prosser",1998,"Coho",4624,1129,NA
"Prosser",1998,"Jack.Coho",54,80,NA
"Prosser",1999,"Chinook",3671,3160,3274
"Prosser",1999,"Jack.Chinook",998,272,182
"Prosser",1999,"Steelhead",1518,998,1052
"Prosser",1999,"Wild.Steelhead",1479,898,953
"Prosser",1999,"Coho",3853,1677,793
"Prosser",1999,"Jack.Coho",91,101,51
"Prosser",2000,"Chinook",18793,5106,4056
"Prosser",2000,"Jack.Chinook",2511,422,268
"Prosser",2000,"Steelhead",1897,1208,1138
"Prosser",2000,"Wild.Steelhead",1853,1108,1042
"Prosser",2000,"Coho",4390,2456,959
"Prosser",2000,"Jack.Coho",1826,193,76
"Prosser",2001,"Chinook",23414,7230,5025
"Prosser",2001,"Jack.Chinook",2369,615,359
"Prosser",2001,"Steelhead",4649,1854,1267
"Prosser",2001,"Wild.Steelhead",4612,1753,1173
"Prosser",2001,"Coho",4978,3442,1131
"Prosser",2001,"Jack.Coho",68,134,75
"Prosser",2002,"Chinook",20144,9913,5693
"Prosser",2002,"Jack.Chinook",810,879,404
"Prosser",2002,"Steelhead",2787,2119,1350
"Prosser",2002,"Wild.Steelhead",2758,2062,1263
"Prosser",2002,"Coho",475,2841,1281
"Prosser",2002,"Jack.Coho",343,184,91
"Prosser",2002,"Lamprey",22,NA,NA
"Prosser",2003,"Chinook",9795,12609,6108
"Prosser",2003,"Jack.Chinook",1978,1569,551
"Prosser",2003,"Steelhead",3075,2582,1530
"Prosser",2003,"Wild.Steelhead",3035,2540,1432
"Prosser",2003,"Coho",2192,2447,1662
"Prosser",2003,"Jack.Coho",162,229,135
"Prosser",2003,"Lamprey",87,NA,NA
"Prosser",2004,"Chinook",17275,17187,7370
"Prosser",2004,"Jack.Chinook",826,1511,641
"Prosser",2004,"Steelhead",3413,3036,1741
"Prosser",2004,"Wild.Steelhead",3343,2990,1639
"Prosser",2004,"Coho",2325,2212,1926
"Prosser",2004,"Jack.Coho",64,213,147
"Prosser",2004,"Lamprey",65,NA,NA
"Prosser",2005,"Chinook",9802,15089,8777
"Prosser",2005,"Jack.Chinook",547,1114,685
"Prosser",2005,"Steelhead",2037,3080,1929
"Prosser",2005,"Wild.Steelhead",2022,3043,1836
"Prosser",2005,"Coho",2890,2034,2235
"Prosser",2005,"Jack.Coho",225,140,164
"Prosser",2005,"Lamprey",2,22,NA
"Prosser",2006,"Chinook",7511,12020,9322
"Prosser",2006,"Jack.Chinook",331,751,680
"Prosser",2006,"Steelhead",1599,2488,2148
"Prosser",2006,"Wild.Steelhead",1583,2457,2075
"Prosser",2006,"Coho",4355,1980,2611
"Prosser",2006,"Jack.Coho",175,170,151
"Prosser",2006,"Lamprey",4,16,NA
"Prosser",2007,"Chinook",3759,8592,9229
"Prosser",2007,"Jack.Chinook",1666,868,873
"Prosser",2007,"Steelhead",2485,2431,2270
"Prosser",2007,"Wild.Steelhead",2233,2356,2204
"Prosser",2007,"Coho",3153,2892,2866
"Prosser",2007,"Jack.Coho",60,120,148
"Prosser",2007,"Lamprey",7,13,NA
"Prosser",2008,"Chinook",9129,8472,10336
"Prosser",2008,"Jack.Chinook",1792,851,1156
"Prosser",2008,"Steelhead",3652,2516,2549
"Prosser",2008,"Wild.Steelhead",3595,2437,2488
"Prosser",2008,"Coho",3893,3244,2817
"Prosser",2008,"Jack.Coho",1809,194,211
"Prosser",2008,"Lamprey",3,6,NA
"Prosser",2009,"Chinook",8919,7423,11295
"Prosser",2009,"Jack.Chinook",3451,1133,1308
"Prosser",2009,"Steelhead",5518,2770,2900
"Prosser",2009,"Wild.Steelhead",5421,2684,2833
"Prosser",2009,"Sockeye",12,NA,NA
"Prosser",2009,"Coho",8518,4206,3050
"Prosser",2009,"Jack.Coho",573,300,253
"Prosser",2009,"Lamprey",1,3,8
"Prosser",2010,"Chinook",13611,7926,10936
"Prosser",2010,"Jack.Chinook",1956,1462,1276
"Prosser",2010,"Steelhead",6634,3508,3287
"Prosser",2010,"Wild.Steelhead",6428,3383,3208
"Prosser",2010,"Sockeye",11,NA,NA
"Prosser",2010,"Coho",4813,4657,3078
"Prosser",2010,"Jack.Coho",184,289,201
"Prosser",2011,"Chinook",14197,9003,10403
"Prosser",2011,"Jack.Chinook",3899,2394,1341
"Prosser",2011,"Steelhead",5501,4491,3343
"Prosser",2011,"Wild.Steelhead",5384,4321,3258
"Prosser",2011,"Coho",6424,5034,3157
"Prosser",2011,"Jack.Coho",121,268,213
"Prosser",2011,"Lamprey",14,4,9
"Prosser",2012,"Chinook",13208,11575,9973
"Prosser",2012,"Jack.Chinook",1828,2438,1455
"Prosser",2012,"Steelhead",6385,5424,3631
"Prosser",2012,"Wild.Steelhead",6128,5288,3529
"Prosser",2012,"Sockeye",47,NA,NA
"Prosser",2012,"Coho",4303,5357,3936
"Prosser",2012,"Jack.Coho",179,334,200
"Prosser",2012,"Lamprey",48,7,10
"Prosser",2013,"Chinook",15085,12798,10413
"Prosser",2013,"Jack.Chinook",3546,2795,1542
"Prosser",2013,"Steelhead",3704,5440,3700
"Prosser",2013,"Wild.Steelhead",3583,5284,3588
"Prosser",2013,"Sockeye",696,46,NA
"Prosser",2013,"Coho",2304,4824,3956
"Prosser",2013,"Jack.Coho",403,247,219
"Prosser",2013,"Lamprey",15,10,8
"Prosser",2014,"Chinook",16372,14452,10357
"Prosser",2014,"Jack.Chinook",3184,2750,1765
"Prosser",2014,"Steelhead",5880,5509,3907
"Prosser",2014,"Wild.Steelhead",5842,5364,3794
"Prosser",2014,"Sockeye",2678,176,NA
"Prosser",2014,"Coho",21000,5777,4929
